location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Boise Eastman,Boise City-Nampa,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,co,0.5,ppm,43.616379,-116.203817,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Boise Fire Station,Boise City-Nampa,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,45,µg/m³,43.618889,-116.213611,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
KAHULUI,MAUI,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm25,0,µg/m³,20.869444,-156.492417,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
"Kihei, Maui",Kahului-Wailuku,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm25,5,µg/m³,20.7808,-156.4461,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Pearl City,Honolulu,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm25,2,µg/m³,21.392834,-157.969131,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Pearl City,Honolulu,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm10,9,µg/m³,21.392834,-157.969131,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
SAND ISLAND 2 - ANUE,Honolulu,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm25,6,µg/m³,21.3039,-157.8711,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Honolulu,Honolulu,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm25,1,µg/m³,21.310301,-157.858093,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Honolulu,Honolulu,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm10,8,µg/m³,21.310301,-157.858093,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Honolulu,Honolulu,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,co,0.5,ppm,21.310301,-157.858093,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Kapolei,Honolulu,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm25,2,µg/m³,21.323601,-158.088593,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Kapolei,Honolulu,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm10,7,µg/m³,21.323601,-158.088593,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
